Date,Open,High,Low,Close,Adj Close,Volume
1/14/2021,7050,7090,6995,7020,6456.281738,89319500
1/15/2021,7095,7100,6840,6955,6396.500977,89853500
1/18/2021,6955,7125,6845,7120,6548.250488,86343000
1/19/2021,7120,7120,7005,7095,6525.258301,73777000
1/20/2021,7165,7295,7070,7095,6525.258301,107216000
1/21/2021,7280,7300,7060,7075,6506.864746,66428000
1/22/2021,7075,7160,7075,7080,6511.463379,80829000
1/25/2021,7200,7200,7000,7035,6470.077148,76836500
1/26/2021,6955,7000,6820,6820,6272.341797,98658000
1/27/2021,6820,6930,6705,6790,6244.750488,97920000
1/28/2021,6790,6925,6790,6900,6345.91748,104627000
1/29/2021,6900,7000,6760,6760,6217.159668,132762500
2/1/2021,6760,6920,6595,6820,6272.341797,113129000
2/2/2021,6965,6980,6800,6800,6253.947754,86741000
2/3/2021,7000,7000,6825,6825,6276.94043,67291000
2/4/2021,6920,7000,6835,6855,6304.530762,80950500
2/5/2021,6870,6950,6855,6915,6359.713867,51602000
2/8/2021,7050,7055,6880,6920,6364.311523,45604000
2/9/2021,7000,7030,6955,6980,6419.493164,75574000
2/10/2021,7050,7050,6900,6920,6364.311523,44984500
2/11/2021,6985,6985,6840,6880,6327.523438,36926000
2/15/2021,6830,6890,6720,6800,6253.947754,83922000
2/16/2021,6880,6945,6830,6940,6382.705566,47221000
2/17/2021,6890,6960,6850,6900,6345.91748,66011500
2/18/2021,6850,6900,6735,6735,6194.166992,91204000
2/19/2021,6780,6850,6760,6825,6276.94043,70487500
2/22/2021,6900,6940,6790,6790,6244.750488,68913000
2/23/2021,6820,6845,6775,6825,6276.94043,58360000
2/24/2021,6825,6835,6725,6725,6184.970215,71869000
2/25/2021,6740,6770,6680,6705,6166.57666,78688000
2/26/2021,6705,6810,6645,6710,6171.174805,173631500
3/1/2021,6830,7045,6800,7045,6479.273438,205539000
3/2/2021,7120,7160,7000,7015,6451.682617,81446500
3/3/2021,7065,7085,7000,7000,6437.887207,84470000
3/4/2021,6905,7000,6720,6720,6180.371582,120802500
3/5/2021,6720,6925,6720,6800,6253.947754,111871500
3/8/2021,6950,6950,6720,6720,6180.371582,90883000
3/9/2021,6700,6715,6600,6605,6074.605957,135582000
3/10/2021,6720,6720,6620,6705,6166.57666,50302000
3/12/2021,6875,6880,6715,6765,6221.758301,74328000
3/15/2021,6815,6820,6665,6665,6129.788086,57416000
3/16/2021,6710,6710,6620,6625,6093,70755500
3/17/2021,6650,6665,6605,6610,6079.205566,71474500
3/18/2021,6620,6720,6610,6705,6166.57666,70067500
3/19/2021,6770,6770,6625,6760,6217.159668,125853000
3/22/2021,6640,6680,6610,6620,6088.401855,67523500
3/23/2021,6720,6720,6555,6565,6037.818359,127762500
3/24/2021,6515,6550,6420,6440,5922.856445,152050000
3/25/2021,6400,6440,6330,6370,5858.477539,119101500
3/26/2021,6370,6445,6300,6415,5899.86377,134467500
3/29/2021,6410,6515,6360,6360,5849.280273,113370500
3/30/2021,6370,6455,6370,6395,5881.469727,83115500
3/31/2021,6390,6395,6145,6215,5715.92334,223390500
4/1/2021,6215,6270,6155,6225,5725.121582,112286000
4/5/2021,6250,6290,6155,6155,5660.741699,73311500
4/6/2021,6135,6170,6080,6165,5669.939453,80215000
4/7/2021,6155,6275,6135,6250,5748.114258,107908000
4/8/2021,6200,6215,6125,6135,5721.441406,123697500
4/9/2021,6315,6320,6145,6200,5782.060547,116961000
4/12/2021,6295,6295,6060,6065,5656.160645,110411500
4/13/2021,6050,6060,5980,6000,5595.541992,119211500
4/14/2021,6105,6305,6060,6305,5879.981934,135519500
4/15/2021,6305,6310,6180,6280,5856.66748,102686500
4/16/2021,6370,6370,6215,6275,5852.004395,79293500
4/19/2021,6275,6280,6230,6270,5847.341309,47095000
4/20/2021,6200,6250,6185,6235,5814.700195,72721000
4/21/2021,6200,6225,6165,6165,5749.419434,68397000
4/22/2021,6200,6275,6180,6215,5796.048828,63758000
4/23/2021,6280,6395,6225,6390,5959.252441,108498500
4/26/2021,6395,6400,6280,6285,5861.330078,108742000
4/27/2021,6370,6435,6355,6405,5973.240723,132650000
4/28/2021,6400,6405,6315,6320,5893.970703,87660000
4/29/2021,6460,6460,6360,6410,5977.904297,57355000
4/30/2021,6450,6450,6380,6405,5973.240723,65829500
5/3/2021,6480,6480,6345,6390,5959.252441,42065500
5/4/2021,6350,6430,6340,6400,5968.577637,50123500
5/5/2021,6420,6430,6400,6425,5991.892578,51685000
5/6/2021,6400,6450,6400,6425,5991.892578,38115500
5/7/2021,6460,6460,6385,6400,5968.577637,48864000
5/10/2021,6400,6420,6395,6420,5987.22998,68180500
5/11/2021,6400,6480,6305,6480,6043.185547,70680000
5/17/2021,6500,6500,6375,6500,6061.836914,129058500
5/18/2021,6400,6455,6365,6390,5959.252441,73563000
5/19/2021,6380,6400,6335,6345,5917.285156,64912500
5/20/2021,6390,6435,6350,6380,5949.92627,64950000
5/21/2021,6450,6450,6260,6360,5931.274414,92620000
5/24/2021,6355,6380,6290,6325,5898.633789,59210000
5/25/2021,6300,6440,6300,6355,5926.611816,87470000
5/27/2021,6440,6480,6270,6270,5847.341309,537971500
5/28/2021,6330,6370,6330,6340,5912.622559,102108500
5/31/2021,6360,6390,6325,6375,5945.263184,101442000
6/2/2021,6500,6515,6420,6465,6029.196777,141732500
6/3/2021,6495,6600,6430,6600,6155.096191,133810500
6/4/2021,6620,6620,6500,6580,6136.444824,62108500
6/7/2021,6560,6570,6430,6530,6089.813965,62576000
6/8/2021,6575,6575,6430,6430,5996.555664,64348000
6/9/2021,6360,6535,6360,6530,6089.813965,77198000
6/10/2021,6555,6620,6490,6620,6173.748535,73262500
6/11/2021,6570,6580,6460,6470,6033.859375,72780500
6/14/2021,6520,6520,6400,6410,5977.904297,61478500
6/15/2021,6445,6470,6405,6470,6033.859375,87799000
6/16/2021,6420,6435,6360,6385,5954.588379,48984000
6/17/2021,6390,6390,6275,6330,5903.296387,68448500
6/18/2021,6300,6345,6280,6325,5898.633789,118043000
6/21/2021,6300,6300,6210,6250,5828.689453,60823500
6/22/2021,6250,6390,6240,6340,5912.622559,65824000
6/23/2021,6295,6340,6230,6230,5810.037598,52451000
6/24/2021,6310,6310,6200,6210,5791.38623,56010000
6/25/2021,6230,6260,6190,6190,5772.734375,68939500
6/28/2021,6100,6150,6055,6055,5646.834473,84420500
6/29/2021,6050,6090,6040,6045,5637.508789,53704000
6/30/2021,6000,6070,6000,6025,5618.856445,65795000
7/1/2021,6060,6075,6000,6025,5618.856445,58153000
7/2/2021,6070,6140,6040,6100,5688.800781,67392500
7/5/2021,6100,6130,6070,6110,5698.125977,39710500
7/6/2021,6110,6110,6055,6055,5646.834473,34279500
7/7/2021,6180,6180,6030,6065,5656.160645,35595000
7/8/2021,6000,6040,5980,6015,5609.530762,47297000
7/9/2021,6010,6020,5990,6020,5614.193359,40707500
7/12/2021,6070,6180,6020,6170,5754.082031,65981500
7/13/2021,6170,6175,6015,6045,5637.508789,65946500
7/14/2021,6020,6030,5980,5990,5586.216309,59321000
7/15/2021,6000,6115,5995,6115,5702.790039,49724000
7/16/2021,6170,6170,6055,6110,5698.125977,47998500
7/19/2021,6110,6110,6005,6005,5600.205078,47119000
7/21/2021,6050,6120,6010,6010,5604.867676,55009500
7/22/2021,6115,6155,6050,6155,5740.093262,60792000
7/23/2021,6180,6190,6025,6035,5628.182129,79938000
7/26/2021,6040,6060,6005,6005,5600.205078,48171500
7/27/2021,6005,6060,6000,6005,5600.205078,53107500
7/28/2021,6005,6010,5970,5980,5576.889648,74133000
7/29/2021,6055,6085,5980,6040,5632.845215,84605000
7/30/2021,6040,6100,5960,5970,5567.563965,105685000
8/2/2021,6060,6065,5905,5960,5558.238281,119981500
8/3/2021,6025,6180,5985,6145,5730.768066,110071500
8/4/2021,6145,6150,6060,6120,5707.452148,41112000
8/5/2021,6170,6310,6140,6300,5875.318848,93768000
8/6/2021,6360,6360,6135,6160,5744.756348,67285000
8/9/2021,6135,6200,6105,6200,5782.060547,52858500
8/10/2021,6250,6300,6115,6300,5875.318848,60446000
8/12/2021,6120,6320,6120,6300,5875.318848,118325500
8/13/2021,6350,6435,6325,6410,5977.904297,86929000
8/16/2021,6420,6420,6305,6420,5987.22998,69282000
8/18/2021,6520,6760,6460,6600,6155.096191,186354500
8/19/2021,6600,6600,6530,6600,6155.096191,100926000
8/20/2021,6600,6600,6510,6600,6155.096191,120163500
8/23/2021,6515,6590,6515,6590,6145.77002,68253000
8/24/2021,6570,6600,6500,6600,6155.096191,59561500
8/25/2021,6600,6605,6585,6600,6155.096191,80751500
8/26/2021,6560,6580,6470,6560,6117.791992,74337000
8/27/2021,6490,6530,6490,6510,6071.162598,71572500
8/30/2021,6530,6580,6520,6565,6122.456055,74564500
8/31/2021,6520,6570,6515,6550,6108.466309,115373500
9/1/2021,6550,6600,6535,6565,6122.456055,67362500
9/2/2021,6525,6575,6455,6540,6099.140137,53257000
9/3/2021,6560,6600,6515,6600,6155.096191,35764500
9/6/2021,6600,6605,6550,6575,6131.78125,36780000
9/7/2021,6595,6605,6570,6570,6127.118164,53902000
9/8/2021,6550,6595,6420,6440,6005.881836,77888000
9/9/2021,6410,6570,6410,6570,6127.118164,110074000
9/10/2021,6495,6565,6495,6520,6080.48877,41483500
9/13/2021,6560,6560,6525,6555,6113.129395,29929000
9/14/2021,6590,6595,6495,6545,6103.803711,51990500
9/15/2021,6545,6550,6485,6495,6057.174316,44514000
9/16/2021,6580,6580,6480,6500,6061.836914,58672500
9/17/2021,6490,6535,6480,6520,6080.48877,117540000
9/20/2021,6570,6590,6510,6585,6141.107422,73157500
